ID,APS_ID,memberID,SequenceID
826,0,68237,1
16270,0,68242,1
16498,0,68244,1
9861,0,68250,1
5547,22,68255,1
27169,0,68262,1
2145,0,68267,1
1749,7,68273,1
27283,3,68274,2
27284,30,68274,3
2619,24,68274,1
12232,2,68285,1
6272,3,68286,1
16158,0,68293,1
4873,0,68295,1
5403,0,68303,1
14261,0,68305,1
481,0,68306,1
741,0,68307,1
19078,24,68314,1
11319,4,68322,1
14258,0,68332,1
14259,0,68335,1
4427,0,68342,1
1717,4,68343,1
2340,0,68344,1
8606,0,68365,1
1722,0,68367,1
12227,0,68370,1
4428,0,68380,1
6781,0,68406,1
1752,7,68412,1
2450,0,68422,1
14254,0,68430,1
555,0,68432,1
11693,0,68441,1
1012,19,68454,1
9050,0,68456,1
1534,0,68462,1
1431,0,68471,1
12152,0,68473,1
21449,0,68474,1
4429,0,68484,1
3929,0,68487,1
942,0,68489,1
1405,4,68494,1
7663,0,68497,1
17176,0,68503,1
7450,19,68524,1
18356,0,68535,1
1362,0,68538,1
4914,19,68546,1
4430,0,68561,1
1993,0,68575,1
3555,0,68576,1
9583,0,68585,1
3176,6,68586,1
2928,0,68588,1
2240,26,68589,1
11670,4,68590,1
3491,5,68596,1
3964,5,68597,1
19553,0,68602,1
3134,5,68603,1
3140,5,68604,1
9584,0,68620,1
1892,0,68646,1
801,0,68648,1
9352,0,68656,1
4431,0,68661,1
4052,0,68668,1
9585,0,68669,1
2615,0,68671,1
735,0,68676,1
1117,7,68682,1
9167,15,68683,1
2737,8,68692,1
1330,13,68695,1
26645,7,68700,2
3055,8,68700,1
1742,8,68701,1
2519,16,68709,1
2515,16,68710,1
8128,0,68718,1
803,7,68721,1
6954,4,68726,1
5416,0,68739,1
9769,0,68744,1
5398,9,68751,1
26890,30,68751,2
1774,6,68754,1
1587,7,68758,1
11399,0,68761,1
408,0,68769,1
19104,0,68770,1
773,0,68772,1
9227,0,68775,1
9028,15,68776,1
5931,0,68792,1
3143,0,68798,1
2603,2,68811,1
